date,temperature,humidity
2021-02-06 21:24:48.158980, 23.45, 35.46
2021-02-06 21:24:53.177630, 23.45, 35.49
2021-02-06 21:24:58.176353, 23.44, 35.58
2021-02-06 21:25:03.175289, 23.44, 35.63
2021-02-06 21:25:08.330334, 23.44, 35.71
2021-02-06 21:25:13.188561, 23.44, 35.68
2021-02-06 21:25:18.207631, 23.43, 35.74
2021-02-06 21:25:28.065169, 23.42, 35.71
2021-02-06 21:25:28.189932, 23.42, 35.71
2021-02-06 21:25:37.021060, 23.42, 35.7
2021-02-06 21:25:38.208266, 23.42, 35.7
2021-02-06 21:25:43.201567, 23.42, 35.7
2021-02-06 21:25:48.202587, 23.42, 35.79
2021-02-06 21:25:53.216871, 23.44, 35.92
2021-02-06 21:25:58.205074, 23.46, 35.81
2021-02-06 21:26:03.219512, 23.45, 35.82
2021-02-06 21:26:08.218114, 23.45, 35.87
2021-02-06 21:26:13.221682, 23.45, 35.85
2021-02-06 21:26:18.220510, 23.45, 35.82
2021-02-06 21:26:23.235157, 23.45, 35.77
2021-02-06 21:26:28.234983, 23.45, 35.76
2021-02-06 21:26:33.311930, 23.45, 35.72
2021-02-06 21:26:38.242930, 23.46, 35.76
2021-02-06 21:26:43.241182, 23.46, 35.84
2021-02-06 21:26:48.255636, 23.46, 35.9
2021-02-06 21:26:53.254455, 23.47, 35.86
2021-02-06 21:26:58.256671, 23.46, 36.31
2021-02-06 21:27:03.253263, 23.48, 36.39
2021-02-06 21:27:08.324734, 23.48, 36.3
2021-02-06 21:27:13.261758, 23.47, 36.12
2021-02-06 21:27:22.041221, 23.48, 36.09
2021-02-06 21:27:23.259591, 23.47, 36.1
2021-02-06 21:27:28.277095, 23.47, 36.09
2021-02-06 21:27:34.338814, 23.47, 36.09
2021-02-06 21:27:38.275445, 23.46, 36.1
2021-02-06 21:27:43.289832, 23.45, 36.37
2021-02-06 21:27:49.069383, 23.46, 37.01
2021-02-06 21:27:58.192288, 23.46, 37.27
2021-02-06 21:27:58.301920, 23.46, 36.48
2021-02-06 21:28:03.319874, 23.46, 36.3
2021-02-06 21:28:08.333622, 23.45, 36.4
2021-02-06 21:28:13.644876, 23.46, 37.16
2021-02-06 21:28:22.052043, 23.46, 36.59
2021-02-06 21:28:23.317373, 23.47, 36.46
2021-02-06 21:28:28.316896, 23.46, 36.52
2021-02-06 21:28:33.346364, 23.45, 36.51
2021-02-06 21:28:38.330131, 23.43, 36.55
2021-02-06 21:28:43.321079, 23.42, 36.61
2021-02-06 21:28:48.335475, 23.42, 36.64
2021-02-06 21:28:55.223786, 23.42, 36.71
2021-02-06 21:28:58.348749, 23.41, 36.61
2021-02-06 21:29:03.347577, 23.41, 36.75
2021-02-06 21:29:08.361366, 23.41, 36.66
2021-02-06 21:29:13.392094, 23.41, 36.74
2021-02-06 21:29:18.347833, 23.4, 36.83
2021-02-06 21:29:23.361678, 23.41, 36.83
2021-02-06 21:29:28.360885, 23.41, 36.84
2021-02-06 21:29:33.375557, 23.4, 37.36
2021-02-06 21:29:38.673580, 23.41, 36.89
2021-02-06 21:29:43.375600, 23.41, 36.85
2021-02-06 21:29:48.374465, 23.42, 36.87
2021-02-06 21:29:53.388876, 23.41, 36.89
2021-02-06 21:29:58.379678, 23.4, 36.91
2021-02-06 21:30:03.394214, 23.4, 37.07
2021-02-06 21:30:08.502302, 23.41, 37.09
2021-02-06 21:30:14.891442, 23.41, 37.08
2021-02-06 21:30:18.391255, 23.41, 37.31
2021-02-06 21:30:24.311095, 23.4, 37.12
2021-02-06 21:30:28.422077, 23.4, 37.11
2021-02-06 21:30:33.437167, 23.4, 37.09
2021-02-06 21:30:39.888136, 23.4, 37.09
2021-02-06 21:30:44.903280, 23.39, 37.13
2021-02-06 21:30:48.417905, 23.39, 37.09
2021-02-06 21:30:53.436719, 23.39, 37.24
2021-02-06 21:30:58.420581, 23.39, 37.02
2021-02-06 21:31:03.434348, 23.4, 37.21
2021-02-06 21:31:08.511959, 23.41, 37.16
2021-02-06 21:31:13.893887, 23.4, 37.07
2021-02-06 21:31:18.486583, 23.4, 37.22
2021-02-06 21:31:23.469789, 23.4, 37.45
2021-02-06 21:31:28.452301, 23.39, 37.43
2021-02-06 21:31:33.482474, 23.39, 37.5
2021-02-06 21:31:38.466268, 23.39, 37.41
2021-02-06 21:31:43.468563, 23.39, 37.45
2021-02-06 21:31:48.468014, 23.4, 37.57
2021-02-06 21:31:53.545020, 23.41, 38.56
2021-02-06 21:31:58.481359, 23.4, 38.49
2021-02-06 21:32:03.468616, 23.41, 38.14
2021-02-06 21:32:08.560477, 23.41, 37.76
2021-02-06 21:32:13.481197, 23.42, 37.67
