date,temperature,humidity
2021-01-24 22:07:23.795719, 24.48, 42.94
2021-01-24 22:07:28.776035, 24.47, 42.98
2021-01-24 22:07:33.786282, 24.48, 42.74
2021-01-24 22:07:38.797041, 24.47, 43.11
2021-01-24 22:07:43.822874, 24.48, 42.88
2021-01-24 22:07:48.800102, 24.47, 43.21
2021-01-24 22:07:53.806751, 24.47, 43.02
2021-01-24 22:07:58.792894, 24.47, 43.0
2021-01-24 22:08:03.822268, 24.47, 42.95
2021-01-24 22:08:08.806414, 24.47, 42.79
2021-01-24 22:08:15.637529, 24.47, 42.64
2021-01-24 22:08:18.813355, 24.48, 42.68
2021-01-24 22:08:24.096234, 24.47, 42.78
2021-01-24 22:08:28.817257, 24.47, 42.73
2021-01-24 22:08:33.824646, 24.48, 42.74
2021-01-24 22:08:38.827751, 24.47, 43.0
2021-01-24 22:08:44.526736, 24.47, 42.76
2021-01-24 22:08:48.836178, 24.47, 42.72
2021-01-24 22:08:53.840770, 24.47, 42.62
2021-01-24 22:08:58.837308, 24.47, 43.06
2021-01-24 22:09:03.865489, 24.47, 42.92
2021-01-24 22:09:08.845257, 24.47, 42.88
2021-01-24 22:09:13.888308, 24.47, 42.9
2021-01-24 22:09:18.914762, 24.48, 43.13
2021-01-24 22:09:24.129950, 24.47, 43.18
2021-01-24 22:09:28.873459, 24.46, 43.15
2021-01-24 22:09:33.954329, 24.47, 42.91
2021-01-24 22:09:38.869327, 24.46, 42.65
2021-01-24 22:09:44.125883, 24.47, 42.75
2021-01-24 22:09:48.883915, 24.47, 42.94
2021-01-24 22:09:53.877755, 24.47, 42.87
2021-01-24 22:09:58.878533, 24.47, 42.75
2021-01-24 22:10:03.904489, 24.47, 42.9
2021-01-24 22:10:08.899218, 24.47, 42.85
2021-01-24 22:10:13.891996, 24.48, 42.74
2021-01-24 22:10:18.900133, 24.47, 42.93
2021-01-24 22:10:23.904790, 24.47, 42.83
2021-01-24 22:10:28.918024, 24.46, 42.78
2021-01-24 22:10:33.912247, 24.46, 43.5
2021-01-24 22:10:38.926125, 24.47, 43.5
2021-01-24 22:10:43.938786, 24.46, 43.37
2021-01-24 22:10:48.914193, 24.46, 43.03
2021-01-24 22:10:53.925996, 24.46, 43.08
2021-01-24 22:10:58.928620, 24.46, 43.11
2021-01-24 22:11:05.760266, 24.47, 42.92
2021-01-24 22:11:08.955126, 24.48, 42.77
2021-01-24 22:11:13.944536, 24.48, 42.61
2021-01-24 22:11:18.950547, 24.48, 42.57
2021-01-24 22:11:23.961849, 24.48, 42.58
2021-01-24 22:11:28.953492, 24.48, 42.57
2021-01-24 22:11:34.017307, 24.49, 42.54
2021-01-24 22:11:38.956816, 24.48, 42.6
2021-01-24 22:11:43.983848, 24.49, 42.81
2021-01-24 22:11:48.965813, 24.48, 42.99
2021-01-24 22:11:53.973782, 24.48, 42.85
2021-01-24 22:11:58.974734, 24.48, 43.09
2021-01-24 22:12:03.995698, 24.47, 43.13
2021-01-24 22:12:08.984623, 24.48, 43.0
2021-01-24 22:12:13.982025, 24.47, 42.96
2021-01-24 22:12:18.990279, 24.48, 43.03
2021-01-24 22:12:24.272751, 24.48, 42.93
2021-01-24 22:12:31.390625, 24.47, 42.73
2021-01-24 22:12:34.001241, 24.48, 42.71
2021-01-24 22:12:39.012865, 24.48, 42.96
2021-01-24 22:12:44.055059, 24.48, 42.93
2021-01-24 22:12:49.008551, 24.47, 42.87
2021-01-24 22:12:54.014090, 24.47, 42.97
2021-01-24 22:12:59.018709, 24.47, 43.03
2021-01-24 22:13:04.043887, 24.46, 43.04
2021-01-24 22:13:09.032169, 24.46, 42.84
2021-01-24 22:41:25.214798, 24.54, 42.73
2021-01-24 22:41:30.210476, 24.54, 42.99
2021-01-24 22:41:35.217489, 24.54, 42.9
2021-01-24 22:41:40.233052, 24.54, 42.63
2021-01-24 22:41:45.225577, 24.54, 42.39
2021-01-24 22:41:50.225490, 24.55, 42.3
2021-01-24 22:41:55.225424, 24.55, 42.34
2021-01-24 22:42:00.223893, 24.56, 42.32
2021-01-24 22:42:05.242470, 24.55, 42.38
2021-01-24 22:42:10.228906, 24.56, 42.73
2021-01-24 22:42:15.243603, 24.56, 42.79
2021-01-24 22:42:20.244021, 24.57, 42.69
2021-01-24 22:42:25.262816, 24.56, 42.58
2021-01-24 22:42:30.252463, 24.57, 42.75
2021-01-24 22:42:35.250716, 24.57, 42.64
2021-01-24 22:42:40.296676, 24.57, 42.43
